user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
24808;ESP;0;178;68;29;12;47;61;65;68;58.5106383;2009;2016
24824;AUS;0;185;68;32;10;82;36;51;53;42.35365854;2008;2012
24825;AUS;0;183;83;47;9;18;53;33;53;41;2009;2010
24827;NLD;0;176;53;24;17;6;49;55;55;45.33333333;2009;2009
24828;FRA;0;173;68;34;11;29;49;49;57;48.27586207;2009;2012
24834;SWE;1;168;63;42;9;2;36;33;36;34.5;2009;2009
24840;HRV;0;185;78;29;10;12;32;36;46;37.25;2008;2013
24845;BEL;0;178;58;29;10;38;43;45;62;47.52631579;2008;2010
24846;BEL;0;178;58;29;10;3;51;46;51;48.33333333;2008;2008
24857;DEU;0;180;73;47;12;5;46;53;53;50;2008;2009
24859;other;0;192;73;39;11;21;49;33;49;40.04761905;2008;2015
24863;ITA;0;177;68;34;15;80;49;52;62;52.0125;2002;2014
24864;ESP;0;176;73;38;9;5;33;32;33;32.4;2009;2010
24872;USA;1;163;58;37;14;129;52;53;59;48.47286822;2009;2016
24873;MEX;0;176;68;35;14;27;51;53;57;49.22222222;2007;2010
24875;USA;0;180;68;27;10;1;53;53;53;53;2011;2011
24876;USA;0;173;73;30;9;4;40;50;50;39.75;2009;2009
24882;BEL;0;180;88;29;10;39;36;44;49;36.58974359;2009;2010
24884;other;0;180;83;29;9;10;36;38;42;37.5;2009;2009
24886;USA;1;168;53;31;9;3;40;40;40;40;2009;2009
24893;USA;0;185;78;32;13;22;44;38;58;46.63636364;2009;2013
24894;other;0;178;68;48;11;65;46;33;51;40.98461538;2009;2012
24899;USA;0;190;73;25;13;4;31;29;31;29.5;2008;2009
24900;ESP;0;170;73;44;10;2;29;29;29;29;2009;2009
24903;other;0;181;78;36;12;4;38;40;42;40;2013;2013
24910;USA;0;169;63;34;10;20;51;51;51;38.7;2009;2010
24914;AUT;0;173;73;32;15;53;39;48;56;40.11320755;2011;2015
24917;other;0;176;63;30;9;47;33;38;51;37;2008;2012
24927;USA;1;165;53;29;9;53;44;53;62;51;2009;2016
24942;BRA;1;160;58;35;16;80;36;44;51;40.3125;2008;2017
24944;other;0;181;73;25;10;14;46;49;57;46.5;2009;2012
24951;SWE;0;145;40;19;11;27;49;40;49;38.66666667;2009;2009
24960;ITA;0;167;58;42;13;225;43;56;57;46.76888889;2008;2017
24964;FRA;0;172;68;42;16;32;50;40;53;43.5;2009;2009
24965;ZAF;0;198;93;45;11;61;33;40;46;37.40983607;2008;2010
24968;GBR;0;180;63;24;14;19;48;62;62;46.89473684;2008;2012
